trade_id,price,1,2,3,4,5,6
3741374,110848.00000000,0.08620000,3927930,3927930,1675237533813,True,True
3741375,110848.10000000,0.03550000,3927931,3927931,1675237551557,True,True
3741376,110848.00000000,0.00500000,3927932,3927932,1675237607948,True,True
3741377,110848.00000000,0.02090000,3927933,3927933,1675237626423,True,True
3741378,110848.00000000,0.48860000,3927934,3927934,1675237679980,True,True
3741379,110848.00000000,0.48860000,3927935,3927935,1675237680094,True,True
3741380,110848.00000000,0.04180000,3927936,3927936,1675237685318,True,True
3741381,110848.00000000,0.54650000,3927937,3927937,1675237685388,True,True
3741382,110912.10000000,0.00090000,3927938,3927938,1675237730060,False,True
3741383,110848.00000000,0.41260000,3927939,3927939,1675237732740,True,True
3741384,110848.00000000,0.24380000,3927940,3927940,1675237850155,True,True
3741385,110848.00000000,0.05390000,3927941,3927941,1675237850294,True,True
3741386,110848.00000000,0.05520000,3927942,3927942,1675237850353,True,True
3741387,110848.00000000,1.29620000,3927943,3927943,1675237880982,True,True
3741388,110848.00000000,0.71030000,3927944,3927944,1675238198071,True,True
3741389,110848.00000000,0.13520000,3927945,3927945,1675238198101,True,True
3741390,110848.00000000,0.20060000,3927946,3927946,1675238401965,True,True
3741391,110848.00000000,0.28380000,3927947,3927947,1675238404643,True,True
3741392,110848.00000000,0.07230000,3927948,3927948,1675238406507,True,True
3741393,110802.70000000,0.62400000,3927949,3927949,1675238518777,False,True
3741394,110791.50000000,0.34740000,3927950,3927950,1675238882707,False,True
3741395,110738.80000000,0.12660000,3927951,3927951,1675239038578,True,True
3741396,110738.70000000,0.24910000,3927952,3927952,1675239038578,True,True
3741397,110680.30000000,0.00350000,3927953,3927953,1675239038578,True,True
3741398,110672.10000000,0.17770000,3927954,3927954,1675239038578,True,True
3741399,110672.00000000,0.16310000,3927955,3927955,1675239038578,True,True
3741400,110710.40000000,0.17570000,3927956,3927957,1675239140529,True,True
3741401,110710.30000000,0.04140000,3927958,3927958,1675239140529,True,True
3741402,110710.50000000,0.06350000,3927959,3927959,1675239149509,True,True
3741403,110710.50000000,0.06410000,3927960,3927960,1675239150582,True,True
3741404,110813.70000000,0.15820000,3927961,3927961,1675239156025,False,True
3741405,110811.20000000,0.72010000,3927962,3927962,1675239157534,True,True
3741406,110710.50000000,0.01410000,3927963,3927963,1675239242764,True,True
3741407,110710.30000000,0.00640000,3927964,3927964,1675239277979,True,True
3741408,110754.00000000,0.36570000,3927965,3927965,1675239432070,True,True
3741409,110754.00000000,0.06350000,3927966,3927966,1675239524746,True,True
3741410,110754.10000000,0.00660000,3927967,3927967,1675239543608,True,True
3741411,110754.00000000,0.32300000,3927968,3927968,1675239562709,True,True
3741412,110754.00000000,0.24780000,3927969,3927969,1675239563414,True,True
3741413,110691.40000000,0.00920000,3927970,3927970,1675239573697,False,True
3741414,110597.00000000,0.00500000,3927971,3927971,1675239620726,True,True
3741415,110612.10000000,0.09230000,3927972,3927972,1675239638687,False,True
3741416,110612.10000000,0.00760000,3927973,3927973,1675239639810,False,True
3741417,110612.10000000,0.08630000,3927974,3927974,1675239641344,False,True
3741418,110682.70000000,0.16660000,3927975,3927975,1675239685479,False,True
3741419,110682.60000000,0.18380000,3927976,3927976,1675239687820,False,True
3741420,110538.40000000,0.00350000,3927977,3927977,1675239743513,False,True
3741421,110500.00000000,0.70100000,3927978,3927978,1675239747268,True,True
3741422,110500.00000000,0.07120000,3927979,3927979,1675239747344,True,True
3741423,110446.90000000,0.16650000,3927980,3927980,1675239747344,True,True
3741424,110270.80000000,0.13480000,3927981,3927981,1675239747344,True,True
3741425,110270.70000000,0.32860000,3927982,3927982,1675239747344,True,True
3741426,110456.90000000,0.00820000,3927983,3927983,1675239747593,False,True
3741427,110456.90000000,0.06370000,3927984,3927984,1675239750418,False,True
3741428,110456.90000000,0.07380000,3927985,3927985,1675239751504,False,True
3741429,110746.10000000,0.46780000,3927986,3927986,1675239781781,False,True
3741430,110476.70000000,0.03950000,3927987,3927987,1675239957259,True,True
3741431,110490.10000000,0.00810000,3927988,3927988,1675239963838,False,True
3741432,110476.70000000,0.00680000,3927989,3927989,1675240081660,True,True
3741433,110420.40000000,0.24790000,3927990,3927990,1675240081660,True,True
3741434,110410.80000000,0.04530000,3927991,3927991,1675240081660,True,True
3741435,110551.50000000,0.01310000,3927992,3927992,1675240621205,True,True
3741436,110672.00000000,0.50000000,3927993,3927993,1675240802423,False,True
3741437,110676.00000000,0.19570000,3927994,3927994,1675240802423,False,True
3741438,110782.10000000,0.04950000,3927995,3927995,1675240802423,False,True
3741439,110685.70000000,0.00360000,3927996,3927996,1675241376150,False,True
3741440,110377.80000000,0.00360000,3927997,3927997,1675242021224,True,True
3741441,110377.70000000,0.00490000,3927998,3927998,1675242021224,True,True
3741442,110511.00000000,0.01000000,3927999,3927999,1675242767717,True,True
3741443,110511.00000000,0.01300000,3928000,3928000,1675242795368,True,True
3741444,110605.80000000,0.25120000,3928001,3928001,1675243163650,True,True
3741445,110590.10000000,0.10910000,3928002,3928002,1675243163650,True,True
3741446,110850.40000000,0.05580000,3928003,3928003,1675243298754,False,True
3741447,110800.00000000,0.05570000,3928004,3928004,1675243457251,True,True
3741448,110900.00000000,0.03150000,3928005,3928005,1675243745667,False,True
3741449,110866.70000000,0.03250000,3928006,3928006,1675243904532,False,True
3741450,110866.80000000,0.13650000,3928007,3928007,1675243904532,False,True
3741451,110866.80000000,0.11150000,3928008,3928008,1675243906537,False,True
3741452,110900.00000000,0.01540000,3928009,3928009,1675243906537,False,True
3741453,110912.60000000,0.04220000,3928010,3928010,1675243906537,False,True
3741454,110850.60000000,0.16910000,3928011,3928011,1675243907532,False,True
3741455,110734.00000000,0.24410000,3928012,3928012,1675244057469,True,True
3741456,110734.00000000,0.37990000,3928013,3928013,1675244134183,True,True
3741457,110734.00000000,0.07300000,3928014,3928014,1675244134780,True,True
3741458,110734.00000000,0.19180000,3928015,3928015,1675244135177,True,True
3741459,110734.00000000,0.35920000,3928016,3928016,1675244136505,True,True
3741460,110734.00000000,0.06960000,3928017,3928017,1675244295179,True,True
3741461,110726.90000000,0.03170000,3928018,3928018,1675244960128,False,True
3741462,110560.30000000,0.00330000,3928019,3928019,1675245129265,True,True
3741463,110726.80000000,0.06350000,3928020,3928020,1675245396023,False,True
3741464,110726.80000000,0.09080000,3928021,3928021,1675245457260,False,True
3741465,110726.80000000,0.09080000,3928022,3928022,1675245457316,False,True
3741466,110754.30000000,0.17850000,3928023,3928023,1675245506982,False,True
3741467,110726.70000000,0.13700000,3928024,3928024,1675245519340,False,True
3741468,110726.70000000,0.03180000,3928025,3928025,1675245519398,False,True
3741469,110726.70000000,0.10530000,3928026,3928026,1675245519798,False,True
3741470,110707.30000000,0.01660000,3928027,3928027,1675246474950,True,True
3741471,110712.80000000,0.17210000,3928028,3928028,1675246496143,True,True
3741472,110729.90000000,1.17610000,3928029,3928029,1675246538652,False,True
3741473,110717.00000000,0.11300000,3928030,3928030,1675246549684,False,True
3741474,110724.80000000,0.10220000,3928031,3928031,1675246568671,False,True
3741475,110724.80000000,0.00230000,3928032,3928032,1675246799380,False,True
3741476,110724.80000000,0.14770000,3928033,3928033,1675246802982,False,True
3741477,110719.40000000,0.58030000,3928034,3928034,1675246842656,False,True
3741478,110718.40000000,0.29020000,3928035,3928035,1675246843758,False,True
3741479,110713.40000000,0.14500000,3928036,3928036,1675246885729,False,True
3741480,110713.80000000,0.07240000,3928037,3928037,1675247081675,False,True
3741481,110713.00000000,0.00190000,3928038,3928038,1675247291041,True,True
3741482,110724.80000000,1.16090000,3928039,3928039,1675247371512,False,True
3741483,110668.30000000,0.06350000,3928040,3928040,1675247570678,True,True
3741484,110588.50000000,0.24840000,3928041,3928041,1675247793287,False,True
3741485,110632.80000000,0.24890000,3928042,3928042,1675247802998,False,True
3741486,110691.10000000,0.00330000,3928043,3928043,1675247802998,False,True
3741487,110691.20000000,0.19930000,3928044,3928044,1675247802998,False,True
3741488,110641.70000000,0.05020000,3928045,3928045,1675248083736,False,True
3741489,110641.70000000,0.10490000,3928046,3928046,1675248084961,False,True
3741490,110641.70000000,0.02730000,3928047,3928047,1675248127742,False,True
3741491,110641.70000000,0.40170000,3928048,3928048,1675248130716,False,True
3741492,110633.00000000,0.00210000,3928049,3928049,1675248230189,True,True
3741493,110725.30000000,0.11270000,3928050,3928050,1675248809573,True,True
3741494,110854.90000000,0.22990000,3928051,3928051,1675248932836,False,True
