trade_id,price,1,2,3,4,5,6
3796897,136608.80000000,0.02480000,3984750,3984750,1679898367064,False,True
3796898,136608.80000000,0.01320000,3984751,3984751,1679898444258,False,True
3796899,136666.10000000,0.00090000,3984752,3984752,1679898612731,False,True
3796900,136666.30000000,0.11390000,3984753,3984753,1679899363022,True,True
3796901,136666.30000000,0.11390000,3984754,3984754,1679899372450,True,True
3796902,136666.40000000,0.16970000,3984755,3984755,1679899455798,True,True
3796903,136666.40000000,0.11520000,3984756,3984756,1679899455825,True,True
3796904,136666.20000000,0.00190000,3984757,3984757,1679899495765,True,True
3796905,136666.20000000,0.03200000,3984758,3984758,1679900060800,False,True
3796906,136793.10000000,0.00270000,3984759,3984759,1679900060800,False,True
3796907,136784.50000000,0.07700000,3984760,3984760,1679900078247,False,True
3796908,136777.00000000,0.00170000,3984761,3984761,1679900386560,False,True
3796909,136597.00000000,0.07720000,3984762,3984762,1679900732309,True,True
3796910,136444.90000000,0.03200000,3984763,3984763,1679901003923,False,True
3796911,136447.60000000,0.00140000,3984764,3984764,1679901179918,True,True
3796912,136444.10000000,0.02020000,3984765,3984765,1679901322188,True,True
3796913,136444.10000000,0.00300000,3984766,3984766,1679901349118,True,True
3796914,136361.60000000,0.00210000,3984767,3984767,1679901384591,True,True
3796915,136300.10000000,0.05680000,3984768,3984768,1679901438332,True,True
3796916,136495.00000000,0.00140000,3984769,3984769,1679901612712,False,True
3796917,136300.00000000,0.00170000,3984770,3984770,1679901876860,True,True
3796918,136189.90000000,0.00090000,3984771,3984771,1679901999276,True,True
3796919,136133.10000000,0.11430000,3984772,3984772,1679902001605,True,True
3796920,136133.10000000,0.11430000,3984773,3984773,1679902002514,True,True
3796921,136133.10000000,0.11430000,3984774,3984774,1679902006013,True,True
3796922,136137.30000000,0.05420000,3984775,3984775,1679902130497,True,True
3796923,136245.30000000,0.05070000,3984776,3984776,1679902300658,False,True
3796924,136133.00000000,0.00110000,3984777,3984777,1679902349851,True,True
3796925,136244.60000000,0.01820000,3984778,3984778,1679902704167,False,True
3796926,136250.00000000,0.02610000,3984779,3984779,1679902869344,False,True
3796927,136236.10000000,0.00470000,3984780,3984780,1679902963891,True,True
3796928,136236.10000000,0.02680000,3984781,3984782,1679903257376,True,True
3796929,136175.00000000,0.06270000,3984783,3984784,1679903280736,True,True
3796930,136110.30000000,0.11850000,3984785,3984785,1679903316842,False,True
3796931,136114.70000000,0.06720000,3984786,3984786,1679903336994,False,True
3796932,136114.70000000,0.04220000,3984787,3984787,1679903337278,False,True
3796933,136114.70000000,0.04220000,3984788,3984788,1679903337302,False,True
3796934,136114.70000000,0.04220000,3984789,3984789,1679903337333,False,True
3796935,136114.70000000,0.02380000,3984790,3984790,1679903337359,False,True
3796936,136000.00000000,0.89260000,3984791,3984791,1679903431867,True,True
3796937,136000.00000000,0.75640000,3984792,3984793,1679903433953,True,True
3796938,135987.50000000,0.00440000,3984794,3984794,1679903440131,True,True
3796939,135985.90000000,0.00180000,3984795,3984795,1679903440538,True,True
3796940,135985.90000000,0.05700000,3984796,3984796,1679903482421,False,True
3796941,135985.90000000,0.05700000,3984797,3984797,1679903482461,False,True
3796942,135985.90000000,0.46110000,3984798,3984798,1679903489719,False,True
3796943,135985.90000000,1.17860000,3984799,3984799,1679903489801,False,True
3796944,135985.90000000,0.38510000,3984800,3984800,1679903489844,False,True
3796945,136073.00000000,0.01490000,3984801,3984801,1679904123489,True,True
3796946,136125.40000000,0.02400000,3984802,3984802,1679904661666,True,True
3796947,136201.00000000,0.12210000,3984803,3984803,1679904789759,True,True
3796948,136000.00000000,0.04140000,3984804,3984804,1679905001571,True,True
3796949,136000.00000000,0.05710000,3984805,3984805,1679905024620,True,True
3796950,136000.00000000,0.10700000,3984806,3984806,1679905024941,True,True
3796951,136132.50000000,0.06310000,3984807,3984807,1679905196861,False,True
3796952,136139.20000000,0.00150000,3984808,3984808,1679905354525,False,True
3796953,136139.20000000,0.01380000,3984809,3984809,1679905386570,False,True
3796954,135961.50000000,0.00140000,3984810,3984810,1679905487271,True,True
3796955,136109.90000000,0.00100000,3984811,3984811,1679905703018,True,True
3796956,136250.00000000,0.02560000,3984812,3984812,1679905871211,False,True
3796957,136249.90000000,0.04220000,3984813,3984813,1679905998746,False,True
